Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
9,5,7,5,no,no,information security,web technologies,excellent,poor,hacking,security,product development,yes,Satire,Technical,smart worker,yes,no,Software Developer
9,2,8,9,yes,yes,full stack,cloud computing,medium,poor,programming,security,Testing and Maintainance Services,yes,Cookbooks,Management,smart worker,no,yes,Software Developer
1,6,6,1,no,yes,hadoop,cloud computing,excellent,excellent,Software Engineering,security,BPA,yes,Prayer books,Technical,hard worker,no,yes,Software Developer
3,0,2,3,yes,no,machine learning,hacking,excellent,medium,IOT,testing,BPA,yes,Religion-Spirituality,Management,hard worker,no,no,Software Developer
2,5,2,6,yes,yes,full stack,cloud computing,poor,excellent,Software Engineering,Business process analyst,SAaS services,no,Art,Management,smart worker,yes,no,Software Developer
2,5,4,6,yes,yes,hadoop,cloud computing,medium,poor,programming,system developer,SAaS services,yes,Self help,Technical,smart worker,yes,no,Software Developer
6,2,6,3,no,yes,shell programming,web technologies,poor,poor,networks,security,Testing and Maintainance Services,no,Prayer books,Management,smart worker,no,yes,Software Developer
6,2,7,7,no,no,r programming,hacking,medium,poor,IOT,Business process analyst,product development,no,Journals,Technical,hard worker,no,no,Software Developer
3,3,3,7,no,no,full stack,web technologies,medium,excellent,Management,system developer,Service Based,yes,Cookbooks,Management,smart worker,no,no,Software Developer
3,3,1,2,no,yes,hadoop,web technologies,poor,medium,networks,system developer,SAaS services,no,Prayer books,Management,hard worker,no,yes,Software Developer
7,3,8,7,yes,no,shell programming,hacking,excellent,excellent,IOT,cloud computing,Finance,yes,Diaries,Technical,hard worker,yes,yes,Software Developer
1,1,6,7,yes,no,distro making,hacking,medium,poor,data engineering,testing,SAaS services,yes,Journals,Technical,smart worker,yes,yes,Software Developer
4,1,8,5,no,yes,python,cloud computing,poor,poor,programming,system developer,SAaS services,yes,Prayer books,Technical,smart worker,yes,no,Software Developer
1,6,2,6,yes,no,python,game development,poor,poor,Management,developer,Product based,yes,Art,Management,hard worker,yes,yes,Software Developer
8,1,5,8,no,yes,python,database security,excellent,excellent,hacking,testing,Service Based,yes,History,Technical,hard worker,no,no,Software Developer
5,3,7,5,yes,yes,app development,database security,excellent,poor,data engineering,security,Web Services,yes,Art,Management,smart worker,yes,no,Software Developer
2,1,3,2,yes,yes,distro making,database security,medium,poor,networks,testing,Web Services,yes,Religion-Spirituality,Management,smart worker,no,no,Software Developer
9,6,5,8,yes,yes,app development,hacking,medium,poor,parallel computing,developer,Finance,yes,Self help,Technical,smart worker,yes,no,Software Developer
3,3,1,2,yes,no,python,system designing,excellent,medium,Software Engineering,cloud computing,Testing and Maintainance Services,no,Poetry,Management,smart worker,no,no,Software Developer
4,1,7,7,no,yes,machine learning,hacking,excellent,medium,hacking,testing,product development,yes,Action and Adventure,Management,smart worker,no,yes,Software Developer
5,0,8,4,yes,yes,shell programming,testing,medium,medium,Computer Architecture,Business process analyst,Cloud Services,no,Satire,Technical,hard worker,no,no,Software Developer
9,2,2,2,yes,yes,machine learning,data science,excellent,poor,networks,testing,Product based,yes,Diaries,Management,hard worker,yes,yes,Software Developer
7,6,7,8,no,no,shell programming,hacking,excellent,medium,Software Engineering,cloud computing,Testing and Maintainance Services,no,Romance,Management,smart worker,no,yes,Software Developer
8,3,2,7,yes,yes,shell programming,system designing,excellent,medium,hacking,system developer,product development,yes,Guide,Technical,hard worker,yes,yes,Software Developer
5,1,8,6,no,no,app development,database security,poor,medium,parallel computing,Business process analyst,Finance,no,Comics,Management,hard worker,no,yes,Software Developer
9,5,2,4,yes,no,machine learning,cloud computing,medium,medium,cloud computing,security,Sales and Marketing,no,Action and Adventure,Management,hard worker,yes,yes,Software Developer
5,4,6,6,yes,yes,distro making,game development,poor,excellent,networks,Business process analyst,Finance,yes,Art,Technical,hard worker,yes,no,Software Developer
7,0,9,1,no,yes,r programming,system designing,poor,poor,parallel computing,system developer,Web Services,yes,Mystery,Technical,hard worker,no,no,Software Developer
4,6,3,3,no,yes,full stack,testing,medium,excellent,data engineering,Business process analyst,BPA,yes,Dictionaries,Management,hard worker,yes,yes,Software Developer
3,1,7,7,no,no,information security,web technologies,excellent,excellent,cloud computing,testing,Cloud Services,yes,Journals,Management,hard worker,no,yes,Software Developer
2,6,6,5,yes,yes,full stack,hacking,medium,excellent,IOT,system developer,Finance,no,Science,Technical,smart worker,no,yes,Software Developer
1,4,2,1,yes,no,distro making,game development,poor,medium,cloud computing,testing,Testing and Maintainance Services,yes,Encyclopedias,Technical,smart worker,no,yes,Software Developer
3,4,6,5,yes,no,information security,system designing,excellent,poor,hacking,system developer,Service Based,no,Biographies,Technical,hard worker,yes,no,Software Developer
9,6,1,4,no,no,r programming,data science,medium,poor,Management,system developer,Finance,no,Fantasy,Technical,hard worker,no,yes,Software Developer
8,0,7,8,no,yes,python,hacking,excellent,medium,parallel computing,testing,SAaS services,yes,Biographies,Technical,smart worker,yes,no,Software Developer
9,3,4,7,yes,yes,machine learning,system designing,excellent,excellent,Management,cloud computing,Finance,no,Autobiographies,Technical,smart worker,yes,yes,Software Developer
7,6,4,7,yes,no,shell programming,game development,poor,excellent,cloud computing,cloud computing,Cloud Services,no,History,Management,hard worker,no,yes,Software Developer
7,5,9,2,no,no,distro making,game development,medium,poor,Management,developer,Testing and Maintainance Services,yes,Dictionaries,Management,hard worker,no,no,Software Developer
6,2,4,3,yes,no,machine learning,game development,medium,excellent,Computer Architecture,cloud computing,Finance,yes,Math,Management,hard worker,yes,no,Software Developer
5,3,6,4,no,no,machine learning,cloud computing,poor,medium,hacking,security,BPA,yes,Mystery,Technical,hard worker,yes,no,Software Developer
7,1,4,6,no,no,full stack,database security,excellent,excellent,Software Engineering,system developer,SAaS services,yes,Prayer books,Management,hard worker,no,yes,Software Developer
6,3,4,5,yes,no,full stack,hacking,excellent,medium,Software Engineering,cloud computing,Service Based,yes,Series,Management,smart worker,no,no,Software Developer
3,2,7,8,no,no,full stack,web technologies,poor,excellent,hacking,security,Testing and Maintainance Services,no,Dictionaries,Management,hard worker,yes,yes,Software Developer
1,2,9,1,yes,yes,python,cloud computing,medium,medium,parallel computing,system developer,Service Based,yes,Biographies,Management,hard worker,yes,no,Software Developer
9,1,5,7,no,no,hadoop,web technologies,excellent,excellent,Computer Architecture,security,Web Services,no,Horror,Technical,smart worker,yes,no,Software Developer
5,3,4,8,yes,no,information security,hacking,medium,poor,cloud computing,cloud computing,Testing and Maintainance Services,no,Mystery,Management,smart worker,yes,yes,Software Developer
6,3,5,6,yes,no,app development,database security,excellent,excellent,networks,testing,Web Services,no,Dictionaries,Technical,smart worker,no,no,Software Developer
3,1,5,8,no,yes,r programming,data science,medium,poor,Software Engineering,system developer,BPA,no,Religion-Spirituality,Management,smart worker,yes,yes,Software Developer
8,4,2,6,no,yes,hadoop,system designing,excellent,excellent,parallel computing,developer,Finance,yes,Science,Management,hard worker,yes,yes,Software Developer
5,0,9,8,no,no,hadoop,hacking,excellent,poor,Management,security,Testing and Maintainance Services,no,Art,Management,hard worker,yes,yes,Software Developer
7,5,1,8,yes,yes,distro making,data science,poor,medium,data engineering,cloud computing,Testing and Maintainance Services,yes,Science,Management,smart worker,yes,yes,Software Developer
6,0,7,7,yes,no,full stack,database security,excellent,medium,hacking,testing,Finance,yes,Guide,Management,smart worker,no,no,Software Developer
7,5,9,7,no,no,machine learning,cloud computing,poor,excellent,IOT,cloud computing,Service Based,yes,Health,Management,hard worker,yes,yes,Software Developer
7,4,9,9,no,no,hadoop,game development,excellent,excellent,data engineering,cloud computing,Cloud Services,yes,Autobiographies,Technical,smart worker,no,yes,Software Developer
6,1,9,8,yes,no,machine learning,hacking,medium,excellent,Management,cloud computing,Service Based,yes,Diaries,Technical,hard worker,no,yes,Software Developer
4,2,1,5,no,no,r programming,testing,poor,poor,programming,security,SAaS services,no,Health,Management,smart worker,no,yes,Software Developer
4,3,2,2,yes,yes,app development,web technologies,excellent,poor,networks,Business process analyst,product development,no,Satire,Technical,hard worker,yes,no,Software Developer
7,3,3,8,no,no,hadoop,data science,medium,medium,Computer Architecture,testing,product development,no,Horror,Management,smart worker,no,no,Software Developer
3,5,4,6,yes,yes,r programming,cloud computing,poor,medium,networks,Business process analyst,Cloud Services,yes,Fantasy,Management,smart worker,yes,yes,Software Developer
5,0,4,6,yes,yes,app development,data science,poor,poor,programming,security,Product based,yes,Health,Management,hard worker,yes,yes,Software Developer
3,1,8,5,yes,no,machine learning,system designing,medium,medium,data engineering,cloud computing,product development,yes,Romance,Technical,smart worker,yes,no,Software Developer
8,5,2,8,no,yes,hadoop,data science,excellent,excellent,networks,testing,Product based,no,Cookbooks,Management,hard worker,yes,no,Software Developer
8,1,9,8,no,no,distro making,testing,medium,poor,cloud computing,cloud computing,Sales and Marketing,yes,Journals,Technical,smart worker,yes,no,Software Developer
7,3,9,8,yes,no,hadoop,database security,excellent,poor,Management,Business process analyst,Sales and Marketing,no,Guide,Technical,hard worker,no,yes,Software Developer
4,5,4,7,yes,yes,information security,database security,medium,poor,Computer Architecture,testing,Product based,no,Autobiographies,Management,smart worker,yes,no,Software Developer
7,2,9,9,yes,no,app development,cloud computing,poor,excellent,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Prayer books,Technical,hard worker,yes,no,Software Developer
9,5,5,6,no,yes,full stack,testing,excellent,poor,hacking,developer,SAaS services,no,Self help,Technical,hard worker,yes,no,Software Developer
3,4,6,3,no,yes,distro making,cloud computing,medium,poor,Management,testing,Web Services,no,Series,Management,smart worker,no,yes,Software Developer
7,4,2,2,yes,no,r programming,hacking,excellent,poor,cloud computing,developer,product development,no,Drama,Management,hard worker,no,yes,Software Developer
5,6,3,6,yes,yes,shell programming,cloud computing,medium,excellent,parallel computing,Business process analyst,Sales and Marketing,yes,Horror,Management,hard worker,no,yes,Software Developer
6,4,6,1,yes,yes,distro making,game development,medium,excellent,IOT,Business process analyst,BPA,yes,Anthology,Technical,hard worker,yes,no,Software Developer
2,5,3,1,no,no,app development,game development,medium,excellent,Software Engineering,cloud computing,Product based,yes,Math,Technical,smart worker,yes,no,Software Developer
7,1,9,5,no,yes,information security,hacking,excellent,excellent,cloud computing,security,SAaS services,yes,Mystery,Technical,smart worker,yes,no,Software Developer
2,0,1,7,no,no,machine learning,system designing,poor,excellent,IOT,developer,Finance,no,Guide,Management,smart worker,yes,yes,Software Developer
9,0,4,4,no,yes,hadoop,system designing,medium,poor,IOT,system developer,Testing and Maintainance Services,yes,Health,Management,hard worker,yes,no,Software Developer
7,2,7,5,yes,yes,hadoop,testing,poor,excellent,cloud computing,cloud computing,product development,no,Health,Management,hard worker,yes,yes,Software Developer
2,1,8,8,yes,no,hadoop,web technologies,excellent,excellent,programming,developer,Service Based,yes,Mystery,Technical,smart worker,yes,yes,Software Developer
7,2,5,3,no,no,information security,game development,excellent,medium,parallel computing,system developer,Finance,no,Science,Technical,smart worker,yes,yes,Software Developer
7,4,7,9,yes,yes,distro making,system designing,medium,poor,cloud computing,security,product development,no,Diaries,Management,hard worker,no,no,Software Developer
9,6,2,8,no,yes,full stack,database security,medium,poor,Computer Architecture,cloud computing,Finance,yes,Diaries,Technical,smart worker,no,yes,Software Developer
9,3,3,5,yes,no,machine learning,cloud computing,excellent,poor,networks,cloud computing,Service Based,yes,Guide,Technical,hard worker,no,no,Software Developer
3,2,5,2,no,yes,r programming,hacking,poor,poor,IOT,system developer,Cloud Services,yes,Action and Adventure,Management,smart worker,no,no,Software Developer
5,6,7,7,yes,yes,information security,hacking,excellent,poor,Software Engineering,Business process analyst,SAaS services,no,Diaries,Technical,hard worker,no,yes,Software Developer
7,4,8,9,no,yes,machine learning,hacking,medium,excellent,Software Engineering,cloud computing,Testing and Maintainance Services,yes,Biographies,Technical,hard worker,no,no,Software Developer
1,3,8,7,no,yes,shell programming,hacking,poor,excellent,parallel computing,developer,BPA,no,Satire,Technical,hard worker,yes,yes,Software Developer
1,4,1,2,no,yes,information security,system designing,poor,medium,networks,testing,Finance,yes,Satire,Management,smart worker,no,no,Software Developer
2,2,6,3,no,yes,python,testing,medium,excellent,parallel computing,testing,Sales and Marketing,no,Autobiographies,Technical,smart worker,no,no,Software Developer
9,6,1,8,yes,yes,full stack,hacking,poor,poor,parallel computing,Business process analyst,Finance,no,Science fiction,Technical,hard worker,no,no,Software Developer
2,0,9,4,no,yes,shell programming,web technologies,medium,medium,Computer Architecture,system developer,Service Based,yes,Health,Technical,hard worker,yes,yes,Software Developer
6,6,8,8,no,no,hadoop,database security,poor,medium,Software Engineering,developer,Sales and Marketing,yes,Satire,Technical,hard worker,no,no,Software Developer
5,4,8,2,yes,yes,r programming,web technologies,medium,medium,Computer Architecture,system developer,Service Based,yes,Romance,Technical,smart worker,yes,yes,Software Developer
2,4,1,3,yes,yes,machine learning,web technologies,medium,excellent,programming,testing,Service Based,yes,Romance,Technical,smart worker,no,yes,Software Developer
3,1,7,5,yes,no,information security,hacking,medium,medium,programming,developer,BPA,yes,Health,Management,hard worker,yes,yes,Software Developer
7,2,9,3,no,no,r programming,web technologies,poor,excellent,IOT,cloud computing,product development,yes,Health,Management,hard worker,yes,yes,Software Developer
4,1,1,3,yes,no,r programming,web technologies,medium,poor,parallel computing,developer,Sales and Marketing,yes,Math,Technical,smart worker,no,yes,Software Developer
6,0,9,3,yes,yes,r programming,testing,medium,poor,Software Engineering,testing,BPA,no,Mystery,Technical,hard worker,no,yes,Software Developer
7,2,1,1,yes,no,app development,cloud computing,excellent,excellent,programming,cloud computing,product development,no,Biographies,Management,smart worker,yes,yes,Software Developer
2,4,4,6,no,no,information security,database security,poor,excellent,data engineering,developer,SAaS services,yes,Encyclopedias,Management,smart worker,yes,yes,Software Developer
1,6,1,1,no,no,distro making,hacking,excellent,medium,cloud computing,security,Sales and Marketing,no,Diaries,Technical,hard worker,yes,no,Software Developer
7,2,5,9,yes,no,distro making,data science,medium,medium,IOT,testing,product development,yes,Guide,Technical,hard worker,yes,no,Software Developer
4,3,2,2,yes,no,r programming,cloud computing,poor,poor,programming,system developer,Testing and Maintainance Services,no,Health,Management,hard worker,no,yes,Software Developer
2,4,4,2,yes,yes,information security,data science,poor,medium,Software Engineering,security,Service Based,no,Poetry,Technical,smart worker,no,yes,Software Developer
1,4,2,4,no,yes,app development,data science,excellent,excellent,cloud computing,system developer,Testing and Maintainance Services,yes,Horror,Technical,smart worker,yes,yes,Software Developer
9,5,7,5,yes,yes,machine learning,database security,excellent,poor,programming,Business process analyst,Testing and Maintainance Services,yes,Journals,Technical,hard worker,no,no,Software Developer
7,1,2,5,no,no,hadoop,hacking,excellent,excellent,data engineering,system developer,Finance,yes,Poetry,Management,hard worker,yes,no,Software Developer
6,1,1,6,no,no,distro making,web technologies,poor,medium,Software Engineering,system developer,Finance,no,Journals,Management,smart worker,yes,yes,Software Developer
1,6,1,8,no,yes,hadoop,database security,poor,medium,programming,system developer,Cloud Services,no,Drama,Management,smart worker,yes,yes,Software Developer
6,3,7,7,yes,no,python,system designing,excellent,medium,data engineering,system developer,product development,no,Art,Technical,smart worker,yes,no,Software Developer
1,0,6,7,yes,no,app development,cloud computing,medium,excellent,networks,security,Product based,no,Science,Technical,hard worker,yes,no,Software Developer
7,1,6,7,no,no,hadoop,database security,medium,poor,cloud computing,developer,Service Based,no,Guide,Technical,hard worker,yes,yes,Software Developer
4,6,4,1,yes,no,r programming,web technologies,excellent,medium,Computer Architecture,testing,Web Services,no,Travel,Technical,hard worker,no,no,Software Developer
4,4,3,2,yes,no,shell programming,system designing,excellent,medium,programming,security,SAaS services,yes,Series,Management,smart worker,yes,no,Software Developer
6,5,6,5,no,no,python,cloud computing,excellent,poor,cloud computing,testing,SAaS services,yes,Self help,Management,smart worker,yes,yes,Software Developer
4,0,7,3,no,yes,shell programming,testing,medium,medium,data engineering,Business process analyst,Sales and Marketing,yes,Drama,Technical,smart worker,yes,no,Software Developer
8,0,9,9,yes,yes,app development,testing,poor,medium,networks,Business process analyst,BPA,yes,Mystery,Technical,smart worker,yes,no,Software Developer
9,5,8,9,no,no,shell programming,data science,poor,medium,programming,cloud computing,Product based,no,Encyclopedias,Management,hard worker,yes,no,Software Developer
5,4,8,2,no,yes,distro making,cloud computing,excellent,poor,Software Engineering,developer,Web Services,no,Drama,Management,smart worker,yes,yes,Software Developer
8,2,4,6,no,yes,information security,data science,medium,excellent,Management,developer,Cloud Services,yes,Travel,Management,hard worker,no,no,Software Developer
2,0,5,8,no,yes,machine learning,web technologies,poor,poor,programming,security,Service Based,no,Action and Adventure,Management,smart worker,no,no,Software Developer
2,1,4,8,yes,yes,shell programming,cloud computing,poor,poor,Computer Architecture,Business process analyst,Cloud Services,no,Autobiographies,Management,hard worker,no,no,Software Developer
5,2,1,3,yes,yes,app development,game development,poor,excellent,hacking,system developer,Cloud Services,no,Biographies,Management,hard worker,yes,yes,Software Developer
6,4,7,9,no,yes,app development,data science,poor,excellent,cloud computing,testing,BPA,yes,Childrens,Technical,smart worker,yes,no,Software Developer
5,3,8,4,no,no,r programming,game development,medium,poor,Management,Business process analyst,SAaS services,no,Prayer books,Technical,smart worker,yes,no,Software Developer
3,1,8,7,no,no,distro making,testing,excellent,medium,networks,security,Sales and Marketing,yes,Autobiographies,Technical,smart worker,no,yes,Software Developer
6,1,7,8,no,yes,machine learning,data science,excellent,poor,data engineering,developer,Sales and Marketing,yes,Guide,Technical,hard worker,no,no,Software Developer
4,3,4,2,yes,no,python,game development,poor,excellent,Software Engineering,security,Product based,no,Prayer books,Management,hard worker,no,yes,Software Developer
7,1,1,5,yes,no,python,cloud computing,medium,excellent,parallel computing,developer,Product based,yes,History,Management,hard worker,no,yes,Software Developer
5,3,3,8,yes,no,information security,game development,poor,medium,IOT,security,Product based,yes,Health,Technical,smart worker,no,no,Software Developer
5,2,8,1,yes,no,r programming,data science,medium,medium,hacking,security,Testing and Maintainance Services,yes,Guide,Technical,smart worker,yes,no,Software Developer
1,4,6,9,no,no,app development,cloud computing,poor,medium,Management,system developer,Finance,no,Dictionaries,Technical,hard worker,no,no,Software Developer
9,6,6,8,yes,no,information security,cloud computing,poor,medium,Management,security,Cloud Services,yes,Mystery,Technical,hard worker,no,yes,Software Developer
4,2,1,9,no,no,full stack,web technologies,medium,excellent,IOT,Business process analyst,Testing and Maintainance Services,yes,Travel,Technical,hard worker,no,no,Software Developer
6,0,4,9,yes,no,machine learning,cloud computing,excellent,poor,IOT,developer,BPA,yes,Cookbooks,Management,hard worker,yes,yes,Software Developer
5,3,9,3,no,yes,r programming,game development,poor,medium,programming,cloud computing,Sales and Marketing,no,Diaries,Management,hard worker,no,yes,Software Developer
1,5,1,6,no,no,distro making,testing,poor,poor,data engineering,developer,Testing and Maintainance Services,no,Guide,Management,hard worker,yes,no,Software Developer
5,2,8,6,no,yes,hadoop,game development,excellent,excellent,hacking,security,Product based,yes,History,Technical,hard worker,yes,yes,Software Developer
6,1,5,3,yes,yes,full stack,game development,medium,excellent,hacking,security,Finance,no,Math,Management,smart worker,no,yes,Software Developer
2,2,8,5,no,yes,python,testing,excellent,poor,IOT,cloud computing,Cloud Services,no,Guide,Management,smart worker,no,no,Software Developer
4,4,9,8,yes,no,full stack,cloud computing,poor,poor,IOT,developer,SAaS services,no,Cookbooks,Technical,smart worker,no,yes,Software Developer
1,2,5,2,yes,yes,full stack,cloud computing,poor,poor,IOT,system developer,Web Services,no,Journals,Technical,smart worker,no,yes,Software Developer
2,4,1,3,yes,no,machine learning,system designing,excellent,excellent,data engineering,developer,Sales and Marketing,yes,Religion-Spirituality,Management,smart worker,yes,yes,Software Developer
4,2,6,5,no,no,python,system designing,medium,poor,cloud computing,developer,Cloud Services,yes,Trilogy,Technical,smart worker,yes,yes,Software Developer
1,0,1,9,yes,yes,app development,testing,poor,medium,cloud computing,testing,BPA,no,Cookbooks,Management,smart worker,yes,no,Software Developer
7,3,4,5,yes,no,full stack,testing,poor,medium,Computer Architecture,system developer,Testing and Maintainance Services,yes,Journals,Management,hard worker,no,no,Software Developer
8,2,8,5,yes,yes,r programming,web technologies,excellent,poor,Management,testing,Finance,yes,Horror,Technical,hard worker,yes,yes,Software Developer
4,2,2,9,yes,no,machine learning,game development,excellent,medium,data engineering,developer,Finance,no,Diaries,Technical,hard worker,no,yes,Software Developer
2,4,1,2,no,no,python,database security,excellent,excellent,IOT,testing,product development,no,Horror,Management,smart worker,yes,yes,Software Developer
6,0,6,7,no,yes,python,data science,medium,medium,parallel computing,system developer,Product based,no,Math,Technical,smart worker,yes,no,Software Developer
1,5,8,3,yes,yes,hadoop,hacking,poor,excellent,Computer Architecture,security,Sales and Marketing,no,Self help,Management,smart worker,yes,yes,Software Developer
2,1,1,4,yes,no,machine learning,hacking,medium,poor,IOT,cloud computing,Cloud Services,yes,Action and Adventure,Technical,smart worker,no,no,Software Developer
1,5,4,9,no,no,information security,system designing,excellent,poor,cloud computing,developer,Testing and Maintainance Services,no,Biographies,Management,smart worker,yes,no,Software Developer
5,5,9,3,no,yes,python,hacking,poor,medium,IOT,testing,Testing and Maintainance Services,no,Childrens,Management,hard worker,yes,no,Software Developer
6,5,6,4,yes,no,distro making,game development,excellent,excellent,Management,Business process analyst,Service Based,no,Horror,Management,hard worker,yes,no,Software Developer
5,5,8,6,no,no,app development,system designing,medium,poor,data engineering,security,Web Services,yes,Self help,Management,hard worker,no,no,Software Developer
6,4,3,9,yes,no,app development,web technologies,medium,poor,parallel computing,system developer,Product based,no,Childrens,Management,hard worker,yes,no,Software Developer
3,2,5,6,no,yes,hadoop,game development,excellent,medium,programming,Business process analyst,SAaS services,yes,Travel,Technical,smart worker,yes,yes,Software Developer
8,5,5,1,no,no,information security,game development,poor,medium,networks,security,SAaS services,yes,Encyclopedias,Technical,hard worker,no,no,Software Developer
1,1,5,3,no,yes,shell programming,cloud computing,medium,excellent,Management,testing,Product based,yes,Comics,Management,smart worker,no,no,Software Developer
4,6,1,7,yes,no,full stack,web technologies,excellent,poor,hacking,cloud computing,Cloud Services,no,Romance,Technical,smart worker,yes,no,Software Developer
4,3,2,8,no,yes,distro making,testing,medium,excellent,cloud computing,security,Finance,yes,Trilogy,Technical,smart worker,yes,yes,Software Developer
4,3,4,4,yes,no,distro making,system designing,medium,medium,IOT,developer,Product based,yes,Diaries,Technical,hard worker,yes,no,Software Developer
3,5,2,6,yes,yes,information security,hacking,excellent,medium,cloud computing,security,Testing and Maintainance Services,no,Prayer books,Management,smart worker,no,no,Software Developer
3,6,5,2,no,no,python,game development,poor,poor,hacking,testing,Web Services,yes,Series,Technical,hard worker,no,yes,Software Developer
6,4,5,4,no,yes,python,hacking,excellent,excellent,cloud computing,developer,Cloud Services,no,Cookbooks,Technical,smart worker,no,yes,Software Developer
5,5,5,3,no,yes,shell programming,web technologies,excellent,poor,Management,cloud computing,Sales and Marketing,yes,Satire,Management,smart worker,no,no,Software Developer
7,6,4,7,yes,no,distro making,system designing,poor,excellent,networks,security,Testing and Maintainance Services,no,Journals,Technical,smart worker,no,yes,Software Developer
6,0,1,9,yes,no,app development,hacking,poor,excellent,parallel computing,Business process analyst,product development,yes,Self help,Technical,hard worker,yes,no,Software Developer
5,2,7,7,no,no,hadoop,testing,medium,poor,hacking,security,Cloud Services,no,Travel,Technical,hard worker,no,yes,Software Developer
6,3,8,3,yes,no,hadoop,web technologies,excellent,poor,Computer Architecture,security,Web Services,no,Dictionaries,Technical,smart worker,yes,no,Software Developer
3,1,7,5,yes,yes,app development,hacking,poor,excellent,programming,system developer,Product based,no,Series,Management,smart worker,yes,yes,Software Developer
7,3,2,9,yes,no,distro making,database security,poor,excellent,cloud computing,cloud computing,product development,no,Fantasy,Management,hard worker,yes,yes,Software Developer
5,6,8,7,no,no,full stack,system designing,poor,medium,Computer Architecture,system developer,Product based,no,Science fiction,Management,smart worker,yes,yes,Software Developer
4,4,5,2,yes,no,python,database security,excellent,poor,networks,Business process analyst,Product based,yes,Health,Technical,smart worker,no,yes,Software Developer
1,6,1,7,yes,yes,python,game development,medium,excellent,parallel computing,system developer,Testing and Maintainance Services,no,Autobiographies,Technical,hard worker,no,yes,Software Developer
4,2,9,4,no,yes,information security,testing,medium,excellent,IOT,Business process analyst,product development,no,Biographies,Management,hard worker,no,no,Software Developer
3,1,7,7,yes,yes,information security,system designing,excellent,excellent,programming,system developer,Service Based,no,Autobiographies,Technical,hard worker,no,no,Software Developer
5,6,2,5,yes,yes,app development,cloud computing,excellent,poor,hacking,system developer,BPA,yes,Science,Management,hard worker,yes,yes,Software Developer
4,1,7,2,yes,no,app development,data science,poor,excellent,data engineering,system developer,Product based,yes,Self help,Technical,hard worker,yes,yes,Software Developer
4,5,6,8,yes,yes,distro making,database security,poor,medium,cloud computing,security,Web Services,yes,Self help,Technical,smart worker,no,no,Software Developer
1,1,7,9,no,no,app development,game development,poor,excellent,IOT,testing,Sales and Marketing,no,Guide,Technical,smart worker,no,no,Software Developer
7,5,2,6,yes,no,app development,game development,excellent,medium,Computer Architecture,Business process analyst,BPA,yes,Diaries,Technical,hard worker,yes,no,Software Developer
6,3,4,7,no,yes,app development,testing,excellent,poor,networks,system developer,Web Services,yes,Horror,Technical,hard worker,yes,yes,Software Developer
1,3,3,9,no,yes,hadoop,game development,medium,poor,networks,security,BPA,no,Guide,Management,hard worker,no,yes,Software Developer
3,2,6,4,no,no,full stack,database security,poor,poor,Software Engineering,developer,Finance,yes,Horror,Management,hard worker,no,no,Software Developer
1,6,2,8,no,yes,hadoop,data science,medium,medium,programming,developer,Service Based,no,Action and Adventure,Technical,smart worker,no,no,Software Developer
1,1,4,3,no,yes,python,hacking,poor,medium,data engineering,developer,Web Services,yes,Diaries,Technical,hard worker,no,no,Software Developer
9,5,5,2,no,no,information security,web technologies,poor,excellent,data engineering,system developer,Product based,yes,Science,Management,smart worker,no,yes,Software Developer
5,3,1,3,no,yes,python,game development,excellent,excellent,programming,developer,Service Based,no,Dictionaries,Management,hard worker,no,yes,Software Developer
9,6,4,5,no,no,information security,web technologies,medium,poor,hacking,system developer,BPA,no,Childrens,Management,hard worker,yes,no,Software Developer
2,1,5,6,no,yes,full stack,game development,poor,poor,Management,system developer,Testing and Maintainance Services,no,Satire,Technical,hard worker,yes,no,Software Developer
1,6,9,8,yes,no,app development,testing,poor,excellent,IOT,Business process analyst,product development,yes,Journals,Management,smart worker,no,no,Software Developer
3,0,3,9,no,no,information security,cloud computing,medium,excellent,data engineering,Business process analyst,Cloud Services,yes,Comics,Technical,smart worker,no,yes,Software Developer
9,5,7,9,yes,no,machine learning,game development,poor,poor,IOT,testing,Web Services,yes,Journals,Management,hard worker,no,yes,Software Developer
1,6,9,3,yes,no,python,cloud computing,medium,excellent,Management,developer,product development,yes,Poetry,Technical,hard worker,yes,yes,Software Developer
4,6,9,8,no,yes,full stack,hacking,medium,excellent,Management,system developer,Product based,no,Fantasy,Technical,hard worker,yes,no,Software Developer
3,5,2,4,yes,yes,r programming,testing,poor,medium,Computer Architecture,cloud computing,Web Services,yes,Journals,Technical,smart worker,yes,no,Software Developer
6,2,6,1,yes,yes,r programming,web technologies,excellent,poor,networks,developer,SAaS services,no,Autobiographies,Technical,smart worker,yes,yes,Software Developer
1,5,2,2,no,yes,distro making,system designing,poor,excellent,cloud computing,testing,Cloud Services,yes,Mystery,Technical,hard worker,yes,yes,Software Developer
9,1,2,5,no,no,shell programming,game development,medium,poor,IOT,developer,Finance,no,Romance,Management,smart worker,yes,yes,Software Developer
7,2,4,7,yes,yes,hadoop,data science,excellent,medium,cloud computing,developer,BPA,yes,Romance,Management,hard worker,no,yes,Software Developer
